time_step,eval_return_mean,eval_std_mean,timestamp
370000,51412.83261399005,2589.6959559695356,2022-01-15 04:16:19
380000,46868.45448501386,1140.3562240042338,2022-01-15 04:18:48
390000,54187.5157503583,5059.714586194712,2022-01-15 04:21:17
400000,53876.48709311119,1866.669359970852,2022-01-15 04:23:46
410000,53619.698722804686,1936.6151234749943,2022-01-15 04:26:15
420000,56688.98940343846,3044.30448892703,2022-01-15 04:28:43
430000,57427.1254287878,2781.579077226722,2022-01-15 04:31:11
440000,56151.48524768084,2122.304605982926,2022-01-15 04:33:40
450000,61234.50898705875,3106.8547340549435,2022-01-15 04:36:08
460000,60480.68408899901,3486.118010910697,2022-01-15 04:38:36
470000,61285.83307230643,3483.6784398345217,2022-01-15 04:41:04
480000,67915.43599944799,4355.891511696828,2022-01-15 04:43:34
490000,66606.67785749899,3079.7778726899865,2022-01-15 04:46:03
500000,68215.57940993438,3133.5231868015817,2022-01-15 04:48:31
510000,67429.64565175238,4391.51204709712,2022-01-15 04:51:00
520000,66467.93136909987,3459.1238919037582,2022-01-15 04:53:29
530000,67133.75041094434,4090.9240969004304,2022-01-15 04:55:57
540000,70642.79310147831,3065.9177337967662,2022-01-15 04:58:26
550000,70414.15420382607,4574.857158481761,2022-01-15 05:00:54
560000,71476.00475924382,2398.44356269039,2022-01-15 05:03:23
570000,64569.70201319223,3879.5968895201804,2022-01-15 05:05:52
580000,71893.60350900979,2749.5020255090503,2022-01-15 05:08:21
590000,72879.89296068519,2815.259967597362,2022-01-15 05:10:50
600000,74606.6354663246,4766.408557228108,2022-01-15 05:13:19
610000,69521.60154386002,2507.319944398676,2022-01-15 05:15:48
620000,73021.89195116604,1711.3903160800123,2022-01-15 05:18:17
630000,74738.56202086687,2414.3172664870003,2022-01-15 05:20:46
640000,71639.76413599613,3297.4238638066995,2022-01-15 05:23:15
650000,70340.09351540367,3701.06644698952,2022-01-15 05:25:44
660000,74300.48082804661,5853.67048231123,2022-01-15 05:28:12
670000,76620.13366373969,2748.8416245658213,2022-01-15 05:30:42
680000,68757.97315564516,5972.283375615109,2022-01-15 05:33:10
690000,71531.39475942493,3815.138139791386,2022-01-15 05:35:39
700000,80526.00365777829,6961.895066580789,2022-01-15 05:38:07
710000,75410.39109604196,3883.1379471606115,2022-01-15 05:40:33
720000,76187.78805325835,4913.998913175677,2022-01-15 05:42:54
730000,79747.31842664401,3428.482626447155,2022-01-15 05:45:16
740000,72276.86304126121,4120.474908425312,2022-01-15 05:47:37
750000,71961.41308943559,4022.1364322528,2022-01-15 05:49:59
760000,75605.64808552794,3284.0338142065343,2022-01-15 05:52:21
770000,77069.23411814106,2145.710823308244,2022-01-15 05:54:42
780000,77928.45290377011,5015.645035455788,2022-01-15 05:57:03
790000,71041.31688107357,3691.95208142472,2022-01-15 05:59:24
800000,67077.46321847218,4669.231030343878,2022-01-15 06:01:46
810000,72883.83695322674,3018.737878208941,2022-01-15 06:04:07
820000,72895.97843267162,3142.61799196191,2022-01-15 06:06:30
830000,73064.2649222136,7632.308318109284,2022-01-15 06:08:53
840000,77537.61554608171,1362.1607762276583,2022-01-15 06:11:15
850000,76785.29622350082,7024.981910595628,2022-01-15 06:13:37
860000,78618.97072938763,4957.106213886435,2022-01-15 06:15:58
870000,76710.37154257897,6224.591929565674,2022-01-15 06:18:20
880000,73355.41335097305,6731.580032424688,2022-01-15 06:20:41
890000,73946.75887005117,5091.508417551518,2022-01-15 06:23:03
900000,72737.3949757049,3029.0494595334685,2022-01-15 06:25:25
910000,76556.80186522359,3745.752386993051,2022-01-15 06:27:48
920000,76385.54768701272,2796.4623092762226,2022-01-15 06:30:10
930000,72580.73120881573,3638.2717012875355,2022-01-15 06:32:31
940000,74776.40609762825,2621.7604158339986,2022-01-15 06:34:52
950000,75992.34712371058,6796.373745062361,2022-01-15 06:37:14
960000,71706.87078286966,2833.2700440768376,2022-01-15 06:39:36
970000,73601.17447371889,4066.382715369201,2022-01-15 06:41:58
980000,76336.05267257206,3612.928134858769,2022-01-15 06:44:20
990000,79543.12807364557,3382.7182204149212,2022-01-15 06:46:42
1000000,74700.33691708407,903.7263174619336,2022-01-15 06:49:04
1010000,75743.81881105731,4598.385800906133,2022-01-15 06:51:25
1020000,75383.98947366858,3798.65692849436,2022-01-15 06:53:48
1030000,74300.11796290448,2149.6139557603938,2022-01-15 06:56:09
